instance,best_dual,2021_11_03,2021_11_09,2021_11_12,2021_11_21,gap
sqrpecn29223,373,394,393,393,393,5.09%
sqrpecn30017,332,350,350,350,349,4.87%
sqrpecn30957,354,377,377,377,377,6.10%
sqrpecn31026,373,395,395,395,395,5.57%
sqrpecn32073,401,442,442,442,442,9.28%
sqrpecn33659,380,392,392,392,392,3.06%
sqrpecn35230,405,430,430,430,430,5.81%
sqrpecn37744,409,461,460,460,460,11.09%
sqrpecn39689,429,458,458,458,458,6.33%
sqrpecn41897,432,456,456,456,456,5.26%
sqrpecn44118,478,505,505,505,505,5.35%
sqrpecn45700,440,465,465,465,465,5.38%
sqrpecn45811,452,466,466,466,466,3.00%
sqrpecn48383,459,467,467,467,467,1.71%
sqrpecn49763,429,463,463,463,463,7.34%
sqrpecn51856,478,499,499,499,499,4.21%
sqrpecn52587,498,514,514,514,514,3.11%
sqrpecn54576,453,498,498,498,498,9.04%
sqrpecn56236,478,541,541,541,541,11.65%
sqrpecn57317,476,505,505,505,505,5.74%
sqrpecn58790,551,576,574,574,574,4.01%
sqrpecn61354,479,517,516,516,516,7.17%
sqrpecn62891,464,510,510,510,510,9.02%
sqrpecn65041,554,568,568,568,568,2.46%
sqrpecn67473,509,542,542,542,542,6.09%
sqrpecn69904,603,654,653,653,653,7.66%
sqrpecn71261,545,575,575,575,575,5.22%
sqrpecn71571,601,633,633,633,633,5.06%
sqrpecn73925,601,661,660,660,660,8.94%
visp26405,70,82,82,82,82,14.63%
visp27975,45,48,48,48,48,6.25%
visp29489,102,110,110,108,108,5.56%
visp31334,77,83,83,83,83,7.23%
visp32354,61,78,78,78,78,21.79%
visp34162,114,129,129,128,128,10.94%
visp35881,105,125,124,122,122,13.93%
visp37336,121,133,133,132,132,8.33%
visp38574,115,137,137,134,134,14.18%
visp40191,98,107,107,107,107,8.41%
visp41039,117,137,136,135,135,13.33%
visp43093,96,116,115,113,113,15.04%
visp44362,114,132,132,128,128,10.94%
visp45466,104,111,110,109,109,4.59%
visp46936,77,94,94,92,92,16.30%
visp48558,123,148,147,143,143,13.99%
visp50129,135,158,157,156,156,13.46%
visp51133,72,85,85,84,84,14.29%
visp53088,110,123,123,121,121,9.09%
visp55158,103,123,123,121,121,14.88%
visp57201,124,140,140,137,137,9.49%
visp59449,106,121,121,119,119,10.92%
visp60660,98,107,107,106,106,7.55%
visp62685,99,122,122,119,119,16.81%
visp64932,171,202,201,201,201,14.93%
visp66498,85,105,105,103,103,17.48%
visp68333,140,162,161,158,158,11.39%
visp70702,130,151,151,148,148,12.16%
visp71536,154,184,184,184,184,16.30%
visp73369,198,243,240,240,239,17.15%
vispecn2518,57,57,57,57,57,0.00%
vispecn5478,98,113,113,113,113,13.27%
vispecn7028,115,120,120,120,120,4.17%
vispecn10178,94,114,114,114,114,17.54%
vispecn11917,119,139,139,138,138,13.77%
vispecn13806,177,223,223,223,223,20.63%
vispecn15912,161,193,193,193,193,16.58%
vispecn16227,205,252,252,251,251,18.33%
vispecn17665,208,270,269,269,269,22.68%
vispecn19370,169,196,196,196,196,13.78%
vispecn20413,235,300,300,300,300,21.67%
vispecn25263,127,160,160,160,160,20.63%
vispecn26025,169,208,208,207,207,18.36%
vispecn26166,218,281,281,281,281,22.42%
vispecn26914,163,181,181,181,181,9.94%
vispecn27222,152,185,185,185,185,17.84%
vispecn27480,148,160,160,160,160,7.50%
vispecn27572,244,307,306,306,306,20.26%
vispecn28567,204,266,266,266,266,23.31%
vispecn31031,214,233,233,233,233,8.15%
vispecn33280,172,203,203,203,203,15.27%
vispecn35198,194,246,246,246,246,21.14%
vispecn37349,249,333,333,333,333,25.23%
vispecn39381,203,247,247,246,246,17.48%
vispecn41599,257,334,334,334,334,23.05%
vispecn43993,297,351,351,351,351,15.38%
vispecn45672,168,230,230,230,230,26.96%
vispecn46968,220,259,258,258,258,14.73%
vispecn47378,253,281,281,281,281,9.96%
vispecn48944,215,272,272,272,272,20.96%
vispecn50715,205,260,260,260,260,21.15%
vispecn53314,230,277,277,277,277,16.97%
vispecn55775,224,270,270,270,270,17.04%
vispecn58391,300,376,375,375,375,20.00%
vispecn61049,265,340,340,340,340,22.06%
vispecn63113,244,306,306,306,305,20.00%
vispecn65831,352,447,447,447,447,21.25%
vispecn67795,289,346,346,346,346,16.47%
vispecn70501,402,474,474,474,474,15.19%
vispecn71708,324,452,450,450,450,28.00%
vispecn74166,202,336,336,336,336,39.88%
,50217,54927,54887,54835,54823,
